sku,description,brand,upc,unit_weight,price,classification,notes,
VS-273681-UK,VICTORIA SECRET-MIDNIGHT BLOOM FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667552273681,0.5,19.95,FRAGRANCE MIST,,
VS-281518,VICTORIA SECRET-MIDNIGHT BLOOM BODY LOTION 236 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667552281518,0.5,19.95,FRAGRANCE LOTION,,
VS-281518-D,VICTORIA SECRET-MIDNIGHT BLOOM BODY LOTION 236 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667552281518,,19.95,FRAGRANCE MIST,,
VS-335944-DXB,VICTORIA SECRET-GREEN PEAR&CITRUS REFRESH FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553335944,,,PERFUMES,,
VS-371736,VICTORIA SECRET-VELVET PETALS MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554371736,0.5,19.95,FRAGRANCE MIST,,
VS-371750,VICTORIA SECRET-COCONUT PASSION MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554371750,0.5,19.95,FRAGRANCE MIST,,
VS-382906,VICTORIA'S SECRET- COCONUT MILK AND ROSE BODY LOTION 236ML/8FL.OZ,VICTORIA'S SECRET,667557382906,,,FRAGRANCE LOTION,,
VS-382913,VICTORIA'S SECRET-POMEGRANATE AND LOTUS BODY LOTION 236ML/8FL.OZ,VICTORIA'S SECRET,667557382913,,19.95,FRAGRANCE LOTION,,
VS-382920,VICTORIA'S SECRET-LAVANDER AND VAINILIA BODY LOTION 236ML/8FL.OZ,VICTORIA'S SECRET,667557382920,,19.95,FRAGRANCE LOTION,,
VS-407336,VICTORIA SECRET-BARE VANILLA MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554407336,0.5,19.95,FRAGRANCE MIST,,
VS-407367,VICTORIA SECRET-BARE VANILLA SHIMMER MIST 250 ML,VICTORIA SECRET,667554407367,0.1,19.95,PERFUMES,,
VS-407640,VICTORIA SECRET-COCONUT PASSION FRAGRANCE LOTION 236 ML/8 OZ,VICTORIA SECRET,667554407640,,,SKINCARE,,
VS-407640-D,VICTORIA SECRET-COCONUT PASSION FRAGRANCE LOTION 236 ML/8 OZ,VICTORIA SECRET,667554407640,,19.95,SKINCARE,,
VS-408234,VICTORIA SECRET-VELVET PETALS LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554408234,0.52,19.95,FRAGRANCE LOTION,,
VS-408234-D,VICTORIA SECRET-VELVET PETALS LOTION 237 ML/8 OZ (CO:-MADE IN USA),,,,19.95,MAKEUP,,
VS-419625,VICTORIA SECRET-PURE SEDUCTION FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667534419625,0.52,19.95,FRAGRANCE MIST,,
VS-431683,VICTORIA SECRET-PURE SEDUCTION MIST 248 ML/8.4 OZ,VICTORIA SECRET,667554431683,0.5,19.95,FRAGRANCE MIST,,
VS-431683-D,VICTORIA SECRET-PURE SEDUCTION MIST 248 ML/8.4 OZ,,,,19.95,FRAGRANCE MIST,,
VS-431829,VICTORIA SECRET-PURE SEDUCTION SHIMMER MIST 250 ML/8.4 OZ,,667554431829,,19.95,FRAGRANCE MIST,,
VS-489965,VICTORIA SECRET-LOVE SPELL MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556489965,0.54,19.95,FRAGRANCE MIST,,
VS-489972,VICTORIA SECRET-PURE SEDUCTION MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556489972,0.54,19.95,FRAGRANCE MIST,,
VS-489989,VICTORIA SECRET-VELVET PETALS FRAGRANCE MIST 250 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556489989,0.52,19.95,FRAGRANCE MIST,,
VS-489989-D,VICTORIA SECRET-VELVET PETALS FRAGRANCE MIST 250 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556489989,,19.95,FRAGRANCE MIST,,
VS-489996,VICTORIA SECRET-BARE VANILLA FRAGRANCE MIST 248 ML/8.4 OZ (CO:- MADE IN USA),VICTORIA SECRET,667556489996,,19.95,FRAGRANCE MIST,,
VS-502345,VICTORIA SECRET-AMBER ROMANCE LOTION 236 ML/8 OZ,VICTORIA SECRET,667554502345,,,SKINCARE,,
